Nr.,Province,Town,Name of climb,AVG,SUP,MAX,HEI,DIS,PNT,RANK,T,PAVE,Equal%,#climbs,#kmClimbs
1,Hainaut,Acoz,Chemin de Lausprelles,7.0,10,11,63,900,68,928,,,,140.44,126.40
2,Namur,Agimont,Bois de Wagne,11.8,22,30,124,1050,317,7,,,,71.35,74.92
3,Hainaut,Aiseau,Côte d'Oignies,4.3,9,10,94,2200,77,881,,,,94.13,207.08
4,Namur,Aisemont,Spinette,10.0,16,19,60,600,140,379,,,,147.47,88.48
5,Namur,Alle,Côte d'Alle,3.6,6,6,180,4000,112,600,,,x,49.16,196.62
6,Namur,Alle,Côte du Sacre Coeur,11.5,13,16,126,1100,203,111,x,,,70.22,77.24
7,Vl-Br,Alsemberg,Alsemberg,4.0,9,10,48,1200,53,980,,,,184.33,221.20
8,Liege,Amay,Côte de Chavoie,9.5,19,22,62,650,146,335,,,,142.71,92.76
9,Liege,Amay,Rue Elmai,8.6,18,25,77,900,144,352,,,,114.91,103.42
10,Liege,Amay,Hodinfosse,8.8,12,15,97,1100,136,404,,,,91.22,100.34
11,Liege,Amay,Côte des Larrons,12.2,18,20,79,650,166,233,,,,112.00,72.80
12,Liege,Amay,Les Mirlondaines,7.5,16,18,83,1100,143,359,,,,106.60,117.26
13,Liege,Amay,Mur d'Amay,7.4,13,18,111,1500,140,380,,,,79.71,119.57
14,Liege,Amay,Thier Philippart,10.3,13,14,72,700,114,575,x,,,122.89,86.02
15,Liege,Amay,Côte de Viamont,8.4,11,14,117,1400,152,308,,,,75.62,105.87
16,Luxemburg,Amonines,Côte d'Amonines,5.4,10,12,107,2000,107,640,,,,82.69,165.38
17,Liege,Ampsin,Bois de Cheneu,13.5,15,17,88,650,178,184,,,,100.55,65.35
18,Liege,Ampsin,Rue du Cimitière,7.8,10,11,93,1200,109,621,,,,95.14,114.17
19,Liege,Ampsin,Le Sartage,9.4,11,13,80,850,113,590,,,,110.60,94.01
20,Liege,Ampsin,Côte de la Seigneurie,9.3,16,20,107,1150,176,191,,,,82.69,95.10
21,Namur,Andenne,Côte d'Anton,6.5,13,13,91,1400,124,511,,,,97.23,136.12
22,Namur,Andenne,Côte de Bousalle,9.0,16,20,81,900,133,435,,,,109.23,98.31
23,Namur,Andenne,La Flime,5.6,12,13,135,2400,144,353,,,,65.54,157.30
24,Namur,Andenne,Côte de Groynne,5.9,12,13,160,2700,162,254,,,,55.30,149.31
25,Namur,Andenne,Peu d'Eau,5.2,0,11,140,2700,131,452,,,,63.20,170.64
26,Namur,Andenne,Côte de Stud,6.9,15,17,138,2000,214,92,,,,64.12,128.23
27,Liege,Andrimont,Côte d'Andrimont,5.8,11,11,104,1800,105,665,,,,85.08,153.14
28,Liege,Andrimont,La Rampe de Renouppe,7.7,16,19,131,1700,170,216,,(x),,67.54,114.82
29,Liege,Angleur,Côte de Colonster,5.9,8,9,171,2900,148,326,,,x,51.74,150.05
30,Liege,Angleur,La Heid de Mael I,8.3,16,23,166,2000,288,18,,,,53.30,106.60
31,Liege,Angleur,La Heid de Mael II,6.2,16,18,168,2700,242,49,,,,52.67,142.20
32,Namur,Anhée,Ferme de Grange,7.5,16,17,127,1700,186,149,x,,,69.67,118.44
33,Namur,Anhée,Côte de Heneumont,8.2,16,20,90,1100,135,417,x,,,98.31,108.14
34,Luxemburg,Anlier,Côte de la Chapelle Piérard,5.3,8,9,85,1600,69,922,,,,104.09,166.55
35,Luxemburg,Anlier,Côte du la Croix du Canard,7.4,10,13,52,700,66,938,,,,170.15,119.11
36,Luxemburg,Anlier,Côte de Martelange,4.7,10,11,140,3000,125,502,,,,63.20,189.60
37,Luxemburg,Anlier,Côte de Misbourg,5.4,10,11,59,1100,61,948,,,,149.97,164.96
38,Namur,Annevoie-Rouillon,Col du Marly,5.6,8,10,112,2000,97,732,,,,79.00,158.00
39,Liege,Anthisnes,Côte d'Hestreu,5.1,12,14,117,2300,137,400,,,,75.62,173.94
40,Hainaut,Anvaing,La Tailette,7.0,11,13,42,600,53,981,,,,210.67,126.40
41,West-Vl,Anzegem,Holstraat,5.2,10,12,52,1000,49,988,,,,170.15,170.15
42,Namur,Arbre,Côte de Besinne,4.9,11,12,108,2200,106,652,,x,,81.93,180.24
43,Namur,Arbre,Le Stampia,7.3,17,25,117,1600,186,150,,x,,75.62,121.00
44,Liege,Argenteau,Cote de Sarolay,9.8,12,13,78,800,114,576,,,,113.44,90.75
45,Luxemburg,Arlon,Hirzenberg,4.6,9,9,128,2800,101,703,,,,69.13,193.55
46,Luxemburg,Arlon,Côte de Petite Gaichel,4.4,8,8,119,2700,84,835,,,,74.35,200.75
47,Namur,Arsimont,Haut-Baty,5.9,10,11,71,1200,76,885,,,,124.62,149.54
48,Luxemburg,Arville,Côte Bois du Ri Bellerose,4.7,6,7,226,4800,149,325,,,x,39.15,187.92
49,Namur,Assesse,Côte du Cahoti,7.4,12,13,52,700,71,905,,,,170.15,119.11
50,Luxemburg,Athus,Côte du Bois d'Athus,4.8,11,11,111,2300,110,615,x,,,79.71,183.34
51,Luxemburg,Auby-sur-Semois,Chemin de la Cornette,6.3,9,9,116,1850,106,653,,,,76.28,141.11
52,Luxemburg,Auby-sur-Semois,Côte de Cugnon,4.9,12,13,172,3500,191,138,,,,51.44,180.05
53,Luxemburg,Auby-sur-Semois,Côte du Maka,6.8,11,12,176,2600,200,120,,,,50.27,130.71
54,Namur,Auvelais,Le Rominet,4.2,10,10,88,2100,107,641,,x,,100.55,211.15
55,Luxemburg,Awenne,Côte d'Awenne-Est,5.5,10,11,109,2000,107,642,,,,81.17,162.35
56,Luxemburg,Awenne,Côte d'Awenne-Ouest,5.3,12,14,127,2400,140,381,,,,69.67,167.21
57,Liege,Awirs,Bois des Moines,9.4,16,17,75,800,127,491,,,,117.97,94.38
58,Liege,Awirs,En Cowa,5.9,11,12,88,1500,104,676,,,,100.55,150.82
59,Liege,Awirs,Côte des Nonnes,9.0,18,20,81,900,151,313,,,,109.23,98.31
60,Liege,Awirs,Côte de la Reine,9.0,16,18,90,1000,143,360,,,,98.31,98.31
61,Liege,Awirs,Rue Téwée,11.5,21,23,75,650,168,222,x,,,117.97,76.68
62,Liege,Aywaille,Chambralles,9.5,16,20,147,1550,230,60,,,,60.19,93.30
63,Liege,Aywaille,Côte de Kin,5.0,11,11,205,4100,176,192,,,,43.16,176.96
64,Liege,Aywaille,Côte de Niaster,7.7,11,15,139,1800,153,301,,,,63.65,114.58
65,Liege,Aywaille,Côte de Septroux,5.3,12,15,142,2700,182,169,,,,62.31,168.24
66,Hainaut,Baileux,Côte de la Gate,5.0,8,9,60,1200,49,989,,,,147.47,176.96
67,Hainaut,Baileux,Grand Route de Rocroi,6.0,8,9,60,1000,53,982,,,,147.47,147.47
68,Luxemburg,Barvaux,Côte Saint-Antoine,8.5,16,19,93,1100,139,385,,,,95.14,104.65
69,Liege,Basse-Bodeux,L'Ancienne Barrière,4.7,5,6,226,4800,139,386,,,x,39.15,187.92
70,Liege,Basse-Bodeux,Côte de Haut-Bodeux,4.9,15,18,161,3300,188,144,,,,54.96,181.36
71,Liege,Basse-Bodeux,La Levée,5.4,11,14,265,4900,218,80,,,,33.39,163.60
72,Liege,Basse-Bodeux,Les Monts,6.8,10,11,112,1650,112,601,,,,79.00,130.35
73,Liege,Bas-Oha,Rue Basse-Voie,9.4,18,22,47,500,97,733,,,,188.26,94.13
74,Liege,Bas-Oha,La Rampe d'Oha,12.3,17,19,49,400,110,616,,,,180.57,72.23
75,Liege,Battice,Le Fays de José,6.3,9,11,75,1200,77,882,,,,117.97,141.57
76,Luxemburg,Beausaint,Côte de Beausaint,5.1,8,9,152,3100,114,577,,,x,58.21,180.45
77,Luxemburg,Beausaint,Vieille Route de Beausaint,8.3,13,18,157,1900,214,93,,,,56.36,107.08
78,Namur,Beez,Rue de la Pompe,9.6,16,22,67,700,135,418,,,,132.06,92.44
79,Luxemburg,Beffe,Côte de Beffe,10.3,13,14,144,1400,207,104,,,,61.44,86.02
80,Vl-Br,Bekkevoort,Wijndries,8.0,12,14,32,400,53,983,,,,276.50,110.60
81,Namur,Belgrade,Rue Nélis,6.1,19,24,55,900,114,578,,x,,160.87,144.79
82,Liege,Bellaire,La Voie des Prés,9.7,14,16,68,700,108,630,,,,130.12,91.08
83,Liege,Bellevaux-Ligneuville,Côte de Ligneuville,10.5,13,14,110,1050,165,241,,,,80.44,84.46
84,Liege,Ben-Ahin,Côte de Ben-Ahin,6.0,10,11,149,2500,146,336,,,,59.38,148.46
85,Liege,Ben-Ahin,Côte de Gives,6.0,8,9,114,1900,101,704,,,x,77.61,147.47
86,Liege,Ben-Ahin,Les Ruelles,8.1,21,25,138,1700,241,51,,,,64.12,109.00
87,Liege,Ben-Ahin,Côte Saint-Léonard,7.6,14,16,144,1900,213,94,,(x),,61.44,116.74
88,Liege,Ben-Ahin,Côte de Solières,4.3,8,9,103,2400,93,765,,,,85.90,206.17
89,Hainaut,Bersillies-L'Abbaye,Rue de Cousolre,5.9,10,12,56,950,61,949,,,,158.00,150.10
90,Vl-Br,Bertem,Schapenheide,5.1,9,12,36,700,44,996,,x,,245.78,172.04
91,Luxemburg,Bertrix,Chêne Fleurette,6.3,12,13,138,2200,150,321,,,,64.12,141.06
92,Luxemburg,Bertrix,Côte de la Forêt,6.1,10,14,104,1700,121,535,,,,85.08,144.63
93,Luxemburg,Bertrix,La Goutelle des Morceaux,6.0,17,20,132,2200,169,219,,,,67.03,147.47
94,Luxemburg,Bertrix,La Goutelle du Wé,6.6,11,12,152,2300,157,275,,,,58.21,133.88
95,Liege,Bévercé,Ferme Libert,12.3,18,20,154,1250,311,9,,,,57.45,71.82
96,Liege,Bévercé,Côte de Lamonriville,4.9,9,9,194,4000,185,155,,,,45.61,182.43
97,Liege,Bévercé,Côte de Meiz,7.0,10,11,130,1850,139,387,,,,68.06,125.91
98,Liege,Bévercé,Côte d'Otaimont,7.9,12,13,134,1700,159,265,x,,,66.03,112.25
99,Liege,Bévercé,Côte de Ronxhi,5.5,10,14,183,3300,185,156,,,,48.35,159.55
100,Liege,Bévercé,Tros Marets,5.2,14,16,182,3500,184,162,,,,48.62,170.15
101,Namur,Biesme,Côte de l'Étang-Vivier,9.6,13,16,67,700,98,728,,,,132.06,92.44
102,Brabant wallon,Biez,Le Boyau de Biez,6.1,12,14,43,700,89,795,,x,,205.77,144.04
103,Luxemburg,Bihain,Côte de Fraiture,7.8,12,16,66,850,87,807,,,,134.06,113.95
104,Limburg,Bilzen,Katteberg,7.0,11,12,35,500,49,990,,,,252.80,126.40
105,Hainaut,Binche,La Fontaine de la Jouvence,3.5,13,16,70,2000,75,890,,,,126.40,252.80
106,Namur,Bioul,Côte de Bioul,5.2,8,9,160,3100,139,388,,,,55.30,171.43
107,Namur,Bioul,Mossiat,4.8,16,25,159,3300,212,99,,x,,55.65,183.64
108,Namur,Bioul,Côte de Warnant,7.0,11,12,112,1600,135,419,,,,79.00,126.40
109,Namur,Blaimont,Côte des Quatre Chemins,6.7,8,10,141,2100,134,427,,,,62.75,131.78
110,Liege,Boirs,Thier Bégot,6.5,9,9,72,1100,73,899,,,,122.89,135.18
111,Namur,Bois-de-Villers,Col de la Charlerie,3.7,6,7,141,3700,96,740,,,,62.75,232.18
112,Namur,Bois-de-Villers,Tienne Hinraut,4.9,12,14,176,3600,144,354,,,,50.27,180.98
113,Liege,Bolland,Côte de Noblehaye,4.8,10,12,95,2000,84,836,,,,93.14,186.27
114,Liege,Bolland,Thier Fouarge,11.2,15,17,67,600,134,428,,,,132.06,79.24
115,Liege,Boncelles,Côte Boncelles,5.0,6,8,191,3800,130,464,,,x,46.32,176.03
116,Liege,Boncelles,Côte de Cornillon,4.9,8,9,173,3500,136,405,,,,51.14,179.01
117,Luxemburg,Bonnert,Côte de Bonnert,5.5,11,12,77,1400,93,766,,,,114.91,160.87
118,Namur,Bonneville,Route des Trois Frères,5.7,15,17,102,1800,146,337,,,,86.75,156.14
119,Limburg,Borgloon,De Burchtheuvel,4.8,18,22,41,850,67,933,,,,215.80,183.43
120,Luxemburg,Borlon,Côte de Borlon,5.9,13,16,65,1100,102,690,,,,136.12,149.74
121,Namur,Bossière,Le Maultienne,3.8,13,15,53,1400,79,866,,,,166.94,233.72
122,Hainaut,Bouffioulx,Côte de Chamborgneau,4.4,11,13,61,1400,118,552,,(x),,145.05,203.07
123,Hainaut,Bouffioulx,Côte du Hameau Saint-Blaise,6.9,13,16,55,800,80,857,,,,160.87,128.70
124,Namur,Bouge,Rue de Balart,10.6,14,14,85,800,136,406,,,,104.09,83.28
125,Namur,Bouge,Rue de Coquelet,7.5,13,14,82,1100,112,602,,,,107.90,118.69
126,Luxemburg,Bouillon,Route du Christ,8.0,15,20,112,1400,172,203,,,,79.00,110.60
127,Luxemburg,Bouillon,La Ramonette,9.4,13,15,113,1200,178,185,x,,,78.30,93.96
128,Luxemburg,Bouillon,Vieille Route de France,8.0,12,13,207,2600,268,33,,,,42.74,111.13
129,Luxemburg,Bouillon,La Voie Jocquée,10.7,12,13,107,1000,161,258,,,,82.69,82.69
130,Hainaut,Bourlers,Côte de la Trappe,4.8,7,8,58,1200,44,997,,,,152.55,183.06
131,Namur,Bourseigne-Neuve,Côte de Bourseigne,5.3,7,8,206,3900,147,330,,,x,42.95,167.51
132,Hainaut,Boussu,Les Quatre Pavés,8.5,12,13,34,400,54,977,,,,260.24,104.09
133,Namur,Bouvignes-sur-Meuse,Côte de Meez,7.1,14,15,128,1800,161,259,,,,69.13,124.43
134,Liege,Bra,Thier du Mont,5.2,15,18,131,2500,134,429,,,,67.54,168.85
135,Brabant wallon,Braine-le-Château,Rue Drabe,11.1,14,17,49,450,94,755,,(x),,180.57,81.26
136,Brabant wallon,Braine-le-Château,Côte de la Grande Bruyère,5.3,13,15,63,1200,90,789,,(x),,140.44,168.53
137,Brabant wallon,Braine-le-Château,La Sablière,10.9,15,17,52,475,97,734,,,,170.15,80.82
138,Brabant wallon,Braine-le-Château,Côte de Sainte-Croix,7.4,14,16,52,700,114,579,,(x),,170.15,119.11
139,Hainaut,Braine-le-Comte,Les Gaudys,4.6,11,13,97,2100,101,705,,,,91.22,191.55
140,Luxemburg,Bras,Tier du Mont,4.6,9,11,91,2000,85,823,,,,97.23,194.46
141,Namur,Brûly,Côte de la Prise,3.6,11,12,91,2500,93,767,,,,97.23,243.08
142,Hainaut,Buissenal,Le Saule Pendu,5.4,9,10,67,1250,93,768,,x,,132.06,165.07
143,Vl-Br,Buizingen,Kesterbeekbos,7.9,12,13,63,800,79,867,,,,140.44,112.36
144,Liege,Büllingen,Steigung von Moderscheid,3.7,12,13,148,4000,126,498,,,,59.78,239.14
145,Luxemburg,Bure,Côte de la Croix-Renkin,5.2,12,13,115,2200,104,677,,,,76.94,169.27
146,Hainaut,Carnières,Fonds des Maçons,7.1,17,20,64,900,108,631,,,,138.25,124.43
147,Hainaut,Carnières,Les Grands Trieux,5.9,14,16,65,1100,102,691,,x,,136.12,149.74
148,Namur,Celles,Le Grand Virage,6.5,8,8,110,1700,100,715,,,x,80.44,136.74
149,Namur,Celles,Malavisée,8.4,14,16,92,1100,132,441,,,,96.17,105.79
150,Namur,Celles,Plantis du Vivroule,4.6,6,6,116,2500,74,896,,,x,76.28,190.69
151,Namur,Cerfontaine,Côte du Bois de Cerfontaine,5.9,9,10,86,1450,80,858,,,,102.88,149.18
152,Brabant wallon,Ceroux-Mousty,Côte de Ferrières,8.2,16,19,41,500,86,819,,,,215.80,107.90
153,Luxemburg,Chanly,Les Cougis,7.1,10,11,127,1800,151,314,x,,,69.67,125.40
154,Liege,Charneux,Côte de Bouxhmont,4.3,10,12,100,2300,87,808,,,,88.48,203.50
155,Liege,Charneux,Côte de Charneux,3.6,10,11,193,2600,107,643,,,,45.84,119.20
156,Hainaut,Châtelineau,Côte de Pironchamps,5.1,11,13,86,1700,105,666,,(x),,102.88,174.90
157,Liege,Chaudfontaine,Côte de la Casmatrie,5.8,10,11,145,2500,131,453,,,,61.02,152.55
158,Liege,Chaudfontaine,Fond des Cris,7.5,10,10,142,1900,150,322,,,x,62.31,118.39
159,Liege,Chaudfontaine,Chemin de la Lemmetrie,6.6,15,19,145,2200,194,130,,,,61.02,134.25
160,Liege,Chaudfontaine,La Voie des Chars,10.4,16,22,141,1350,244,47,,,,62.75,84.71
161,Liege,Chenée,Rue des Courteaux,15.0,19,20,45,300,133,436,,x,,196.62,58.99
162,Liege,Chenée,Côte de Gaillarmont,5.2,10,10,124,2400,111,609,,,,71.35,171.25
163,Liege,Chenée,Aux Pieds Roux,8.1,12,13,100,1300,151,315,,x,,88.48,115.02
164,Liege,Cheratte,La Vieille Voie,7.8,15,18,93,1200,158,271,,,,95.14,114.17
165,Liege,Chevron,Côte de Bierleux-Bas,8.6,15,15,120,1400,169,220,,,,73.73,103.23
166,Liege,Chevron,Côte de Bierleux-Haut,10.1,16,18,126,1250,200,121,,,,70.22,87.78
167,Liege,Chevron,Les Forges-Chevron,11.1,18,21,83,750,183,166,,,,106.60,79.95
168,Liege,Chevron,Habiemont,5.9,15,18,135,2300,184,163,,,,65.54,150.74
169,Liege,Chevron,Côte d'Oufny,5.6,13,14,146,2600,175,197,,,,60.60,157.57
170,Luxemburg,Chiny,Côte du Petit-Liry,9.8,17,20,59,600,103,684,,,,149.97,89.98
171,Luxemburg,Chiny,Côte du Terme,9.1,11,12,82,900,110,617,,,,107.90,97.11
172,Brabant wallon,Clabecq,Côte de Rogissart,4.2,12,12,75,1800,89,796,,(x),,117.97,212.35
173,Liege,Clermont-sous-Huy,Aux Houx,5.9,7,8,147,2500,118,553,,,x,60.19,150.48
174,Liege,Clermont-sous-Huy,Côte de Niharmont,5.2,7,8,129,2500,93,769,,,x,68.59,171.47
175,Liege,Clermont-sous-Huy,Sart Malmy,9.1,15,17,136,1500,185,157,,,,65.06,97.59
176,Liege,Comblain-au-Pont,Côte de Fraiture,5.2,10,10,136,2600,113,591,,,,65.06,169.15
177,Liege,Comblain-au-Pont,Geromont I,7.1,10,10,117,1650,124,512,,,,75.62,124.78
178,Liege,Comblain-au-Pont,Geromont II,8.9,14,16,125,1400,166,234,,,,70.78,99.10
179,Liege,Comblain-au-Pont,Côte d'Oneux,6.4,12,13,179,2800,172,204,,,,49.43,138.40
180,Liege,Comblain-Fairon,Au-delà les Monts,7.2,12,14,115,1600,139,389,,,,76.94,123.10
181,Liege,Comblain-Fairon,Rue Vieille Chera,8.2,10,13,119,1450,139,390,x,,,74.35,107.81
182,Luxemburg,Corbion,Côte de Corbion-Nord-Ouest,4.4,13,16,228,5200,180,176,,,,38.81,201.80
183,Hainaut,Couillet,La Rue Villers,5.7,10,11,80,1400,97,735,,(x),,110.60,154.84
184,Namur,Courrière,Taille du Vivier,3.7,8,10,161,4400,128,484,,,,54.96,241.81
185,Brabant wallon,Court-Saint-Etienne,Côte de la Ferme de Sart,4.8,10,13,62,1300,62,946,,,,142.71,185.52
186,Brabant wallon,Court-Saint-Etienne,Côte de Noirhat,5.9,11,12,53,900,79,868,,(x),,166.94,150.25
187,Brabant wallon,Court-Saint-Etienne,La Roche Sainte-Catherine,8.7,13,20,52,600,81,847,,,,170.15,102.09
188,Liege,Couthuin,Fonds des Malades,5.2,14,18,140,2700,125,503,,,,63.20,170.64
189,Namur,Coutisse,Vieux-Tave,7.3,14,16,88,1200,138,395,,,,100.55,120.65
190,Namur,Couvin,Le Chalet Courthéoux,11.5,18,25,86,750,168,223,,,,102.88,77.16
191,Namur,Couvin,Côte de la Sapinière,6.2,9,10,136,2200,135,420,,,,65.06,143.13
192,Namur,Couvin,Le Tienne de Boussu,10.9,14,17,38,350,81,848,,,,232.84,81.49
193,Namur,Couvin,Le Tienne du Palyjat,6.4,15,19,45,700,74,897,,,,196.62,137.64
194,Namur,Crupet,Côte d'Inzefy,9.7,12,15,68,700,106,654,,,,130.12,91.08
195,Namur,Crupet,Col de Ronchinne,3.7,7,8,146,4000,99,725,,,x,60.60,242.41
196,Namur,Crupet,Sur le Tienne,7.8,14,17,101,1300,167,225,x,,,87.60,113.89
197,Luxemburg,Cugnon,Côte des Minières,4.6,15,18,162,3500,186,151,,,,54.62,191.16
198,Luxemburg,Cugnon,Le Ton'Haye,7.0,15,18,80,1150,129,476,x,x,,110.60,127.19
199,Namur,Custinne,Côte de Custinne,5.1,6,8,96,1900,67,934,,,x,92.17,175.12
200,Namur,Custinne,Petit Thierfalise,5.1,8,9,113,2200,96,741,,,,78.30,172.26
201,Luxemburg,Dampicourt,Côte de la Guingette,8.9,16,17,93,1050,156,286,x,,,95.14,99.90
202,Luxemburg,Dampicourt,Côte de Montquintin-Nord,6.3,11,11,94,1500,121,536,,,,94.13,141.19
203,Luxemburg,Dampicourt,Côte de Montquintin-Nord-Est,7.2,15,18,122,1700,187,147,,,,72.52,123.29
204,Luxemburg,Dampicourt,Côte de Montquintin-Sud,6.0,16,18,119,2000,179,180,,,,74.35,148.71
205,Luxemburg,Dampicourt,Côte de Montquintin-Sud-Est,7.4,16,20,118,1600,164,245,,,,74.98,119.97
206,Luxemburg,Daverdisse,Côte de Daverdisse,6.5,11,12,137,2100,145,347,,,,64.58,135.63
207,Namur,Dinant,Côte d'Anseremme,5.0,6,6,116,2300,78,877,,,x,76.28,175.43
208,Namur,Dinant,Charrau de Neffe,7.3,11,13,109,1500,136,407,,,,81.17,121.76
209,Namur,Dinant,Charreau de Bonsecours,8.1,13,14,121,1500,164,246,,,,73.12,109.69
210,Namur,Dinant,Le Charreau de Dréhance,4.8,8,12,188,3900,176,193,,,,47.06,183.55
211,Namur,Dinant,Ferme d'En Haut,6.7,10,10,100,1500,123,524,,(x),,88.48,132.72
212,Namur,Dinant,Côte de Froide Vau,4.6,9,10,192,4200,153,302,,,,46.08,193.55
213,Namur,Dinant,Montagne de la Croix,9.9,21,23,149,1500,300,14,,,,59.38,89.07
214,Namur,Dinant,Rapaille,5.5,19,24,153,2800,212,100,,(x),,57.83,161.92
215,Namur,Dinant,Côte Saint-Jacques,5.8,8,10,146,2500,117,560,,,,60.60,151.51
216,Brabant wallon,Dion-le-Mont,Taille Thérèse,6.0,15,21,54,900,76,886,,,,163.85,147.47
217,Liege,Dison,La Haute Saurée,8.7,15,16,61,700,102,692,,,,145.05,101.53
218,Liege,Dison,Le Mont,7.9,14,16,79,1000,130,465,,,,112.00,112.00
219,Liege,Dison,Montagne de l'Invasion,12.7,16,18,76,600,151,316,,,,116.42,69.85
220,Liege,Dison,Rue Tapeu,9.4,16,20,75,800,125,504,,,,117.97,94.38
221,Liege,Dison,Val Fassotte,7.6,17,21,114,1500,167,226,,,,77.61,116.42
222,Luxemburg,Dochamps,Côte de Dochamps-Nord,4.7,14,16,211,4500,166,235,,,,41.93,188.70
223,Luxemburg,Dochamps,Côte de Dochamps-Ouest,3.9,8,10,312,8000,258,42,,,,28.36,226.87
224,Luxemburg,Dochamps,Côte de Lamormenil,3.7,8,10,216,5900,137,401,,,,40.96,241.68
225,Luxemburg,Dohan,Côte de Dohan,7.1,10,11,164,2300,178,186,,,,53.95,124.09
226,Liege,Dolembreux,Côte de Dolembreux,4.7,7,8,175,3700,124,513,,,x,50.56,187.07
227,Namur,Dorinne,Sud Chansin,9.8,12,13,117,1200,169,221,,,,75.62,90.75
228,Luxemburg,Durbuy,Mur de Durbuy,8.2,12,12,70,850,95,749,,,,126.40,107.44
229,Namur,Durnal,Nord Chansin,6.0,11,14,127,2100,131,454,,,,69.67,146.31
230,Namur,Durnal,Côte de Durnal,5.4,10,11,124,2300,136,408,,,,71.35,164.12
231,Namur,Durnal,Li Voye des Monnis,4.6,9,10,124,2700,120,543,,,,71.35,192.66
232,Vl-Br,Dworp,Beerselstraat,5.7,10,11,57,1000,94,756,,x,,155.23,155.23
233,Vl-Br,Dworp,Bruine Put,8.3,11,14,66,800,90,790,,,,134.06,107.25
234,Luxemburg,Ebly,Mont de Vaux,4.7,9,10,75,1600,63,944,,,,117.97,188.76
235,Hainaut,Ellezelles,Mont d'Ellezelles-Sud,4.6,7,10,79,1700,58,963,,,x,112.00,190.40
236,Hainaut,Ellezelles,Côte du Paradis,5.2,10,11,78,1500,69,923,,,,113.44,170.15
237,Liege,Embourg,Le Sartay,6.4,12,15,115,1800,128,485,,,,76.94,138.49
238,Liege,Embourg,Thier des Critchons,7.7,13,14,116,1500,152,309,,,,76.28,114.41
239,Liege,Engis,Les Fagnes,6.0,8,8,81,1350,73,900,,,x,109.23,147.47
240,Liege,Engis,Rue Reine Astrid,5.0,8,9,93,1850,81,849,,,,95.14,176.01
241,Liege,Engis,Thier Oulet,9.4,19,22,80,850,176,194,,,,110.60,94.01
242,Liege,Engis,Le Trokay,13.7,20,29,65,475,167,227,,,,136.12,64.66
243,Liege,Ensival,Chemin du Haras,6.6,13,14,152,2300,193,132,,(x),,58.21,133.88
244,Luxemburg,Erezée,Thier des Hazeilles,5.0,15,22,126,2500,167,228,,,,70.22,175.56
245,Liege,Esneux,Côte d'Avionpuits,6.6,10,10,138,2100,125,505,,,x,64.12,134.64
246,Liege,Esneux,Côte d'Avister,10.8,13,16,140,1300,216,87,,,,63.20,82.16
247,Liege,Esneux,Le Mur de Strivay,7.2,12,13,86,1200,112,603,,,,102.88,123.46
248,Liege,Esneux,Rond Chêne,6.4,12,12,135,2100,146,338,x,,,65.54,137.64
249,Luxemburg,Etalle,Côte de l'Eau Rouge,4.3,7,8,91,2100,249,44,,,,97.23,204.18
250,Oost-Vl,Etikhove,Taaienberg,7.1,16,18,57,800,131,455,,x,,155.23,124.18
251,Liege,Eupen,Brandberg,3.8,6,6,180,4800,104,678,,,x,49.16,235.95
252,Liege,Eupen,Spitzberg,4.0,8,9,174,4300,114,580,,,x,50.85,218.66
